ORDEM;PLACA;RENAVAM;CHASSI;CARROCERIA;MOTOR;MARCA/MODELO;ANO DE FABRICAÇÃO;ANO DO MODELO;MODELO DO CHASSI;CAPACIDADE;FILTRO
1001;RJW6G41;01316765978;9BM384067PB269745;BUSUCFBSNPB107581CAIO;924997U1384687;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1002;RJK8C67;01316763762;9BM384067PB269795;BUSUCFBSNPB107582CAIO;924997U1384815;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1003;RKD9A10;01334731125;9BM384067PB280492;BUSUCFBSNPB108480CAIO;924997U1396932;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1004;RKM8G24;01332921261;9BM384067PB288924;BUSUCFBSNPB109710CAIO;924997U1403850;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1005;RJM7G37;01318281153;9BM384067PB278148;BUSUCFBSNPB108351CAIO;924997U1393978;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1006;RJM8H53;01329567673;9BM384067PB288900;BUSUCFBSNPB109769CAIO;924997U1403768;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1007;RJK8D67;01318279353;9BM384067PB278125;BUSUCFBSNPB108352CAIO;924997U1393856;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1008;RJE8G53;01332244537;9BM384067PB289509;BUSUCFBSNPB109890CAIO;924997U1405491;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1009;RJA9I72;01329569366;9BM384067PB290656;BUSUCFBSNPB109891CAIO;924997U1407960;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1010;RJI9G29;01340235959;9BM384078PB295613;BUSUCFBSNPB110143CAIO;924998U1409943;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1011;RJD6J74;01317042295;9BM384067PB269740;BUSUCFBSNPB107847CAIO;924997U1385345;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1012;RKG9B03;01340241185;9BM384078PB297000;BUSUCFBSNPB110310CAIO;924998U1411293;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1013;RJM9H58;1342887589;9BM384078PB298360;BUSUCFBSNPB110587CAIO;924998U1412164;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1014;RKI7F33;01318278918;9BM384067PB277713;BUSUCFBSNPB108353CAIO;924997U1393832;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1015;RJE9H31;01342892213;9BM384078PB298361;BUSUCFBSNPB110588CAIO;924998U1412165;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1016;RJJ9F47;01342890857;9BM384078PB300572;BUSUCFBSNPB110697CAIO;924998U1414066;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1017;RKI9B08;01342888879;9BM384078PB303677;BUSUCFBSNPB110755CAIO;924998U1416722;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1018;RKG9H86;01336195344;9BM384078PB303661;BUSUCFBSNPB110756CAIO;924998U1416665;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1019;RKQ9G78;01342888461;9BM384078PB305756;BUSUCFBSNPB111051CAIO;924998U1418561;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1020;RKL9G69;01342891667;9BM384078PB305743;BUSUCFBSNPB111052CAIO;924998U1418535;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1021;RJN9J72;01342891110;9BM384078PB305747;BUSUCFBSNPB111053CAIO;924998U1418559;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1022;RKC9I00;01342889778;9BM384078PB305758;BUSUCFBSNPB1111054CAIO;924998U1418565;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1023;RJM9H59;01342889352;9BM384078PB305194;BUSUCFBSNPB111055CAIO;924998U1418071;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1024;RJE9H22;01342881300;9BM384078PB305183;BUSUCFBSNPB111056CAIO;924998U1418040;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1025;RIU9A61;01343035462;9BM384078PB305177;BUSUCFBSNPB111057CAIO;924998U1418006;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1026;RJI9I88;01342890318;9BM384078PB305172;BUSUCFBSNPB111058CAIO;924998U1417990;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1027;RJA9I68;01329567061;9BM384078PB285756;BUSUCFBSNPB109695CAIO;924998U1400524;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1028;RJM9H55;01342880002;9BM384078PB305153;BUSUCFBSNPB111059CAIO;924998U1417909;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1029;RKC9H99;01342883435;9BM384078PB305170;BUSUCFBSNPB111060CAIO;924998U1417979;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1030;RKT9B33;01342896472;9BM384078PB305166;BUSUCFBSNPB111061CAIO;924998U1417969;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1031;RKK9F22;01342884814;9BM384078PB305160;BUSUCFBSNPB111062CAIO;924998U1417713;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1032;RJU9H05;01342882358;9BM384078PB306335;BUSUCFBSNPB111318CAIO;924998U1419121;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1033;RJE9H21;01342881106;9BM384078PB306308;BUSUCFBSNPB111319CAIO;924998U1419063;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1034;RJA6I05;01300113844;9BM384067PB265403;BUSUCFBSNPB107114CAIO;924997U1381695;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1035;RKS9C63;01342891349;9BM384078PB306318;BUSUCFBSNPB111320CAIO;924998U1419091;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1036;RJI9I87;01342882854;9BM384078PB306346;BUSUCFBSNPB111321CAIO;924998U1419138;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1037;RKH9B92;01342892264;9BM384078PB306595;BUSUCFBSNPB111525CAIO;924998U1419389;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1038;RKR9D83;01342890300;9BM384078PB306543;BUSUCFBSNPB111526CAIO;924998U1419204;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1039;RKT7E17;01317039758;9BM384067PB275403;BUSUCFBSNPB107848CAIO;924997U1391630;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1040;RJY8G20;01342893015;9BM384078PB306546;BUSUCFBSNPB111527CAIO;924998U1419209;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1041;RJV6F82;01300114336;9BM384067PB265988;BUSUCFBSNPB107115CAIO;924997U1381834;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1042;RIR8H01;01329564356;9BM384078PB286020;BUSUCFBSNPB109696CAIO;924998U1401365;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1043;RKH9B91;01342890628;9BM384078PB306549;BUSUCFBSNPB111528CAIO;924998U1419223;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1044;RKV9J35;01336214160;9BM384078PB295611;BUSUCFBSNPB110142CAIO;924998U1409941;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1045;RKC9I01;01342891144;9BM384078PB306551;BUSUCFBSNPB111529CAIO;924998U1419228;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1046;RKH9C07;01343037058;9BM384078PB306553;BUSUCFBSNPB111530CAIO;924998U1419230;M.BENZ/INDUSCAR APACHE V;2023;2023;OF 1721;50 PASSAGEIROS;CAIO
1047;LUS8A86;01349160102;9BM384050RB320141;BUSUCFBSNRB113126CAIO;924971U1432686;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1048;LUI8A26;01349163845;9BM384050RB320142;BUSUCFBSNRB1133127CAIO;924971U1432690;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1049;RJC8E54;01331559747;9BM384078PB285726;BUSUCFBSNPB109694CAIO;924998U1401096;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1721;50 PASSAGEIROS;CAIO
1050;LUI8A50;01349166984;9BM384050RB320150;BUSUCFSBSNRB113128CAIO;924971U1432696;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1051;LUI8A37;01349165490;9BM384050RB320151;BUSUCFBSNRB113129CAIO;924971U1432700;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1052;RJG7I86;01318277806;9BM384067PB277697;BUSUCFBSNPB108354CAIO;924997U1393530;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
